Father,Father Name,Father No of pairs,Father Qty,Child,Child Name,Child Qty,Process,Process Order
2-FB-1111-BK-G1,not required this column,20,1,7-PS-0051,not required this column,1,Master_Carton_Packing,1
2-FB-1111-BK-G1,not required this column,20,1,7-BT-0001,not required this column,3.9,Master_Carton_Packing,1
2-FB-1111-BK-G1,not required this column,20,1,7-PS-0050,not required this column,1,Master_Carton_Packing,1
2-FB-1111-BK-G1,not required this column,20,1,7-MC-0041,not required this column,1,Master_Carton_Packing,1
2-FB-1111-BK-G1,not required this column,20,1,3-FB-1111-BK-G10,not required this column,3,Master_Carton_Packing,1
2-FB-1111-BK-G1,not required this column,20,1,7-AT-0015,not required this column,1.84,Master_Carton_Packing,1
2-FB-1111-BK-G1,not required this column,20,1,3-FB-1111-BK-G06,not required this column,3,Master_Carton_Packing,1
2-FB-1111-BK-G1,not required this column,20,1,3-FB-1111-BK-G09,not required this column,6,Master_Carton_Packing,1
2-FB-1111-BK-G1,not required this column,20,1,FGMC-OH,not required this column,24,Master_Carton_Packing,1
2-FB-1111-BK-G1,not required this column,20,1,3-FB-1111-BK-G07,not required this column,6,Master_Carton_Packing,1
2-FB-1111-BK-G1,not required this column,20,1,3-FB-1111-BK-G08,not required this column,6,Master_Carton_Packing,1
2-FB-1111-BK-G15,not required this column,20,1,3-FB-1111-BK-G09,not required this column,12,Master_Carton_Packing,1
2-FB-1111-BK-G15,not required this column,20,1,7-AT-0015,not required this column,1.84,Master_Carton_Packing,1
2-FB-1111-BK-G15,not required this column,20,1,7-PS-0051,not required this column,1,Master_Carton_Packing,1
2-FB-1111-BK-G15,not required this column,20,1,7-PS-0050,not required this column,1,Master_Carton_Packing,1
2-FB-1111-BK-G15,not required this column,20,1,3-FB-1111-BK-G10,not required this column,12,Master_Carton_Packing,1
2-FB-1111-BK-G15,not required this column,20,1,7-BT-0001,not required this column,3.9,Master_Carton_Packing,1
2-FB-1111-BK-G15,not required this column,20,1,7-MC-0041,not required this column,1,Master_Carton_Packing,1
2-FB-1111-BK-G15,not required this column,20,1,FGMC-OH,not required this column,24,Master_Carton_Packing,1
2-FB-1111-BK-G16,not required this column,20,1,3-FB-1111-BK-G09,not required this column,12,Master_Carton_Packing,1
2-FB-1111-BK-G16,not required this column,20,1,7-PS-0051,not required this column,1,Master_Carton_Packing,1
